letter,digit,+,-,*,;,",",(,),[,],{,},<,>,=,!,/,.,"""",delim,rare_char
9,10,15,16,17,18,19,20,21,22,23,24,25,2,3,4,5,6,38,12,1,38
27,27,38,38,38,38,38,27,27,27,27,38,38,38,38,26,38,38,38,38,27,38
29,29,38,38,38,38,38,29,29,29,29,38,38,38,38,28,38,38,38,38,29,38
31,31,38,38,38,38,38,31,31,31,31,38,38,38,38,30,38,38,38,38,31,38
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,32,38,38,38,38,38,38
33,33,38,38,7,38,38,33,33,38,38,38,38,38,38,38,38,38,38,38,33,38
7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,34,7,7,7,7
9,9,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,39,39,35,39
40,10,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,11,40,36,40
40,13,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12
40,13,37,37,37,37,37,37,37,40,40,40,40,37,37,37,37,37,40,40,37,40